imsimccmnc,nwmccmnc,year,month,num_samples,max_dl_mbps,min_dl_mbps,mean_dl_mbps,max_ul_mbps,min_ul_mbps,mean_ul_mbps,max_rtt_ms,min_rtt_ms,mean_rtt_ms
24202,24202,2017,12,224,96.02814745866037,0.11660499280302519,24.58944528068389,43.15745312482938,0.45843194731641956,14.310155215635005,701.9048,15.6895,38.19430163
24201,24201,2017,12,221,128.1706789076573,0.46343871572176554,35.3066644362167,43.6804459471478,0.33471982950698453,13.271694162635944,728.0788,18.9169,40.50421254
24002,24002,2017,12,180,98.47177067951588,0.8320792965276714,22.47772086782995,22.484761022762886,0.2593837386654957,7.363146530614546,261.6530,18.7211,51.48824196
24008,24008,2017,12,175,87.85308433608681,1.3256100100687789,21.583115684516805,43.36989404282999,0.10527382462403165,10.281410493813596,797.5878,23.7510,61.35168608
24001,24001,2017,12,173,178.57266388395823,1.4396802513757485,51.53274412030274,48.27852134960777,0.32148407639097504,15.807884912477627,61.8569,22.1851,37.02714839
24214,24214,2017,12,141,49.75938166983727,0.06044847156899332,17.674075166400968,42.97316883585726,0.018068804172554707,10.384538698659611,427.3445,15.5649,41.92644944
24001,24202,2017,12,72,52.077913019781604,0.8157071566541755,16.412074350131302,27.04008669211,0.40170886934477107,9.581036974770948,84.6953,28.5738,55.76921461
24201,24002,2017,12,1,8.847109099915684,8.847109099915684,8.847109099915684,3.960885457190591,3.960885457190591,3.960885457190591,83.5958,83.5958,83.59583600
24214,NULL,2017,12,1,0.06912233031909833,0.06912233031909833,0.06912233031909833,NULL,NULL,NULL,21.3274,21.3274,21.32743800
24201,24201,2018,1,1996,139.94322544840009,0.10424156412516991,29.609653474187077,47.00732340764557,0.020800816551830404,13.818222351432047,3727.7736,14.7789,40.41388869
24202,24202,2018,1,1936,133.08756746392206,0.07787129298288285,21.377502936980726,44.30187182896685,0.024991665614288727,13.083679150667487,773.1726,14.1949,37.99151657
24001,24001,2018,1,1603,179.60387254877912,0.3356596932031424,47.806463671736175,48.402205717127146,0.15069311826671988,15.220839748908547,324.7094,19.6636,38.13092518
24008,24008,2018,1,1510,119.20819969709419,0.31160645958079125,20.319658589315328,44.16918924295594,0.045813271825627826,9.909782952966896,461.6373,22.6915,56.75937150
24002,24002,2018,1,1469,113.3949230149575,0.12379988012746643,22.081213494012275,23.004112880872988,0.027275385402829797,6.251490417158331,11006.1475,19.6842,57.26408322
24214,24214,2018,1,1100,73.33113737049149,0.030304787145849357,18.334880648101205,43.2209090376598,0.013668361216199517,10.936319694414705,2488.9940,13.3523,38.63937599
24001,24202,2018,1,619,75.34843766074424,0.27150616702470964,14.304461302001634,44.18986781151092,0.02346775827159621,8.984766842228924,649.4955,30.9629,62.77609496
24201,24002,2018,1,2,8.714374009643004,8.63897256546429,8.676673287553648,4.64315681460732,4.576816441779744,4.609986628193532,129.6777,117.7578,123.71775850
24201,24008,2018,1,2,16.994395652392544,15.775996301661186,16.385195977026864,11.649426171530259,0.6280869949781601,6.138756583254209,78.0854,39.8558,58.97059550
24201,24202,2018,1,1,3.644327571874845,3.644327571874845,3.644327571874845,2.73370111557967,2.73370111557967,2.73370111557967,51.9150,51.9150,51.91504200
24001,24201,2018,1,1,0.7556688932613342,0.7556688932613342,0.7556688932613342,0.8799642591888839,0.8799642591888839,0.8799642591888839,91.7615,91.7615,91.76147000
46099,46099,2018,1,1,5.848773507168354,5.848773507168354,5.848773507168354,13.173170040967939,13.173170040967939,13.173170040967939,112.5127,112.5127,112.51272600
24214,NULL,2018,1,1,23.164380866914055,23.164380866914055,23.164380866914055,9.0602179303311,9.0602179303311,9.0602179303311,36.1141,36.1141,36.11409500
24202,24202,2018,2,212,90.9240115471553,0.1402451093546688,23.11072291579482,41.946042086808546,0.05358439174024902,12.700568091949949,119.7111,15.6690,35.70125100
24201,24201,2018,2,206,134.00139736540103,0.20532060386321133,30.79080842895899,46.38883455803881,0.014083388029197093,14.722733114239388,99.2607,18.7177,37.05601620
24001,24001,2018,2,198,178.11850038410313,0.6234801231219139,47.15243958299807,48.082832211629054,0.03044432228219214,14.853446219158121,374.1723,18.8477,40.95019976
24002,24002,2018,2,193,98.16881952300496,0.44835611293505395,25.92832838223064,22.943859102915653,0.12865994942966702,7.224334790269731,995.2402,23.5280,54.19217383
24008,24008,2018,2,134,88.50220971170484,3.343870334375664,21.647622616986883,45.858973331925085,0.21134389568328,11.996703535821714,166.7460,23.6184,55.09359427
24214,24214,2018,2,109,67.18803292346942,0.07044303355337436,20.73054427838042,43.02695943971931,0.02813279000986512,11.145358428119458,139.1788,18.4663,35.88908971
24001,24202,2018,2,60,61.51852402443035,0.8428014572825764,12.348881610582664,34.03182338544211,0.1951479201900768,7.81831334048676,106.9914,32.3704,63.51382628
24201,24008,2018,2,2,30.995856699865765,23.649316183313363,27.322586441589564,30.935671556427575,13.176431176829338,22.056051366628456,55.4955,44.7350,50.11526550
